Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
Пленка для ламинирования глянцевая А5 100 штук 100 мкм,https://www.ozon.ru/product/158009227,Самсон,Brauberg,Электроника,Пленка для ламинирования,,16002,-27,18,889,865,94.4,1808,21 из 28,41 ч,452,1,0,FBO,0.8,2901,500,339,0.62,1.4,6.78,5.9,54.1,15 из 28,0 из 28,0,2019-09-03
"Пленка для ламинирования Lamirel, А4, 75мкм, 100 шт.",https://www.ozon.ru/product/1744749278,Ресурс-Медиа,Lamirel,Электроника,Пленка для ламинирования,,3461,-32,4,865,863,100,1679,23 из 28,49 ч,153,0,1,FBS,4.5,417,285,8,0.96,0.7,25,0,0,0 из 28,0 из 28,0,2024-10-30
"Пленка для ламинирования А4 ГЕЛЕОС 80 мкм 100 шт, в наборе 10 упаковок",https://www.ozon.ru/product/1857968430,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,38180,127,7,5454,5090,85.7,1641,28 из 28,71 ч,821,0,20,FBS,16.5,3108,570,727,0.23,0,2.75,9.1,26.7,4 из 28,0 из 28,0,2025-02-05
"Пленка для ламинирования A4, 216х303 (200 мкм) глянцевая 100шт, ГЕЛЕОС (LPA4-200)",https://www.ozon.ru/product/966322955,Getsy,ГЕЛЕОС,Электроника,Пленка для ламинирования,,7360,Нет данных,4,1840,1840,100,1566,28 из 28,60 ч,224,0,0,FBS,2.8,359,194,8,1.11,0,12.5,0,0,0 из 28,0 из 28,0,2023-05-04
"Пленка для ламинирования ProMega, 111x154 мм, А6125 мкм, глянцевая, 100 шт",https://www.ozon.ru/product/389639463,Комус,ProMega,Электроника,Пленка для ламинирования,,2510,2,5,502,498,100,1557,21 из 28,32 ч,111,0,0,FBO,0.5,680,235,51,0.74,0.85,5.88,1,59.8,6 из 28,0 из 28,0,2021-11-16
Пленка для ламинирования матовая 80 мкм размер А3 - 5шт,https://www.ozon.ru/product/1665333379,БроняMobiCare,MobiCareSkin,Электроника,Пленка для ламинирования,,5520,439,6,920,556,66.6,1547,28 из 28,73 ч,172,0,1,FBS,1.4,1400,596,92,0.43,0.83,9.78,27.5,25.7,10 из 28,0 из 28,0,2024-08-21
Пленка для ламинирования глянцевая А7 100 штук 125 мкм,https://www.ozon.ru/product/158009283,Самсон,Brauberg,Электроника,Пленка для ламинирования,,2191,-74,5,438,422,100,1522,24 из 28,67 ч,117,0,13,FBO,0.2,2191,1071,145,0.23,0.18,4.82,0,0,11 из 28,0 из 28,0,2019-09-03
"Рулонная плёнка для ламинирования Bulros (330 мм х 75 м) 150 мкм глянцевая, втулка 25 мм, трехслойная PET100/PE25/EVA25",https://www.ozon.ru/product/1256195620,1digital,Bulros,Электроника,Пленка для ламинирования,,7894,Нет данных,2,3947,3947,100,1503,28 из 28,60 ч,251,0,1,FBS,5.2,282,88,39,0.71,0,7.69,0,0,1 из 28,0 из 28,0,2023-10-23
Пленка для ламинирования А4 100 шт 175 мкм,https://www.ozon.ru/product/2293741553,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,70052,2251,52,1347,1309,96,1441,26 из 28,55 ч,1442,2,36,FBO,3.8,11163,8965,482,0.47,0.59,9.75,3.6,84.1,18 из 28,0 из 28,3,2025-06-14
Пленка для ламинирования А5 80 мкм 100 шт Revcol,https://www.ozon.ru/product/2330076532,Ревкол,Revcol,Электроника,Пленка для ламинирования,,12823,2041,22,583,504,72.2,1424,26 из 28,75 ч,356,1,20,FBO,0.7,3649,531,690,0.6,0.75,6.81,13.7,16.1,8 из 28,0 из 28,0,2025-06-20
Пленка для ламинирования А3 OfficeSpace 303*426мм 250 мкм глянец 100 листов (LF8763),https://www.ozon.ru/product/1660157433,БЭТЕЛЬ,OfficeSpace,Электроника,Пленка для ламинирования,,11320,Нет данных,2,5660,5660,100,1400,28 из 28,60 ч,350,0,61,FBS,6.9,141,97,2,1.42,0,50,0,0,0 из 28,0 из 28,0,2024-08-16
"Фольга для горячего ламинирования ""Глянцевая"" (213мм х 122м, цвет: зеленый)",https://www.ozon.ru/product/1588928108,Идея Фикс,TPS (Astroll),Электроника,Пленка для ламинирования,,3400,Нет данных,1,3400,3400,100,1386,28 из 28,105 ч,139,0,1,FBS,1.1,364,193,18,0.28,1.03,11.11,0,0,14 из 28,0 из 28,0,2024-05-29
