Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
Голографическая пленка Звезды для холодной ламинации с узором / 28мкм / Рулон 300мм*100м,https://www.ozon.ru/product/1739911426,Unstroked Printshop,Unstroked,Электроника,Пленка для ламинирования,Super; Лидер по продажам,41892,Нет данных,11,3808,3329,81.8,0,23 из 28,84 ч,875,0,0,FBS,7.7,3302,908,842,0.33,0.22,3.2,9.5,34,14 из 28,0 из 28,0,2024-10-24
"Плёнка для ламинирования Office Kit, глянцевая, формат А6, размер 100х146 мм",https://www.ozon.ru/product/1746799258,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,568,-44,2,284,284,100,0,0 из 28,0 ч,0,0,61,FBS,0.4,2158,585,98,0.09,0.68,5.1,0,0,0 из 28,0 из 28,0,2024-11-01
"Плёнка для ламинирования Office Kit, глянцевая, формат А6, размер 100х146 мм",https://www.ozon.ru/product/1746800223,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,5257,-69,20,263,231,95,0,19 из 28,47 ч,109,1,50,"FBO,FBS",0.4,5525,1165,200,0.36,1.8,10.5,0,0,0 из 28,0 из 28,0,2024-11-01
"Плёнка для ламинирования Office Kit, глянцевая, формат А6, размер 100х146 мм",https://www.ozon.ru/product/1746800268,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,1400,-39,3,467,417,100,0,19 из 28,60 ч,33,0,97,FBS,1,1127,322,69,0.27,0.31,7.24,10.9,62.9,19 из 28,0 из 28,0,2024-11-01
"Плёнка для ламинирования Office Kit, глянцевая, формат А6, размер 100х146 мм",https://www.ozon.ru/product/1746800346,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,14987,38,52,288,245,94.2,0,26 из 28,75 ч,255,2,1,"FBO,FBS",0.6,6592,1223,298,0.79,2.12,10.4,0,0,0 из 28,0 из 28,0,2024-11-01
"Плёнка для ламинирования Office Kit, глянцевая, формат А6, размер 100х146 мм",https://www.ozon.ru/product/1746800403,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,10910,490,30,364,345,100,0,21 из 28,94 ч,253,1,70,FBS,0.8,1923,343,152,1.56,0,5.26,11.1,100,19 из 28,0 из 28,0,2024-11-01
"Пленка для ламинирования B7, 60 мкм, ГЕЛЕОС, размеры 85x120, 100 шт",https://www.ozon.ru/product/1753074743,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,580,-49,2,290,290,100,0,28 из 28,54 ч,27,0,1,FBO,0.4,1919,555,51,0.1,0.18,1.96,0,0,4 из 28,0 из 28,0,2024-11-08
"Пленка для ламинирования B7, 75 мкм, ГЕЛЕОС, размеры 85x120, 100 шт",https://www.ozon.ru/product/1753108326,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,620,Нет данных,2,310,310,50,0,23 из 28,90 ч,16,0,1,FBO,0.4,1067,424,32,0.19,0.23,9.37,0,0,4 из 28,0 из 28,0,2024-11-08
"Пленка для ламинирования B7, 100 мкм, ГЕЛЕОС, размеры 85x120, 100 шт",https://www.ozon.ru/product/1753119951,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,680,-77,2,340,340,100,0,28 из 28,45 ч,16,0,1,FBO,0.6,1513,488,64,0.13,0.4,9.37,0,0,4 из 28,0 из 28,0,2024-11-08
"Пленка для ламинирования B7, 125 мкм, ГЕЛЕОС размеры 85x120, 100 шт",https://www.ozon.ru/product/1753130291,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,350,-49,1,350,350,100,0,24 из 28,37 ч,17,0,1,FBO,0.7,918,370,53,0.11,0.27,3.77,0,0,4 из 28,0 из 28,0,2024-11-08
"Пакетная пленка для ламинирования, глянцевая, 216х303мм (А4), 60мкм, WF",https://www.ozon.ru/product/1757815673,PIRMEDIA,без бренда,Электроника,Пленка для ламинирования,,2736,6,4,684,612,100,0,28 из 28,80 ч,58,0,14,FBS,1.1,1708,901,44,0.23,0.66,11.36,32,67.1,17 из 28,0 из 28,0,2024-11-13
"Пакетная пленка для ламинирования, глянцевая, 216х303мм (А4), 80мкм, WF",https://www.ozon.ru/product/1757816783,PIRMEDIA,без бренда,Электроника,Пленка для ламинирования,,1100,-50,1,1100,1100,100,0,28 из 28,90 ч,30,0,4,FBS,1.4,430,371,7,0.23,0.26,14.28,0,0,11 из 28,0 из 28,0,2024-11-13
"Пленка для ламинирования Lamirel, А4, 125мкм, 100 шт.",https://www.ozon.ru/product/1763672070,Ресурс-Медиа,Lamirel,Электроника,Пленка для ламинирования,,3890,213,3,1297,1293,100,0,0 из 28,28 ч,100,0,0,FBS,4.5,520,380,17,0.58,0.26,17.64,0,0,0 из 28,0 из 28,0,2024-11-21
"Пленка для ламинирования Lamirel, набор А4, A5, A6 - по 25 шт каждого формата, 75мкм, 75 шт.",https://www.ozon.ru/product/1763975975,Ресурс-Медиа,Lamirel,Электроника,Пленка для ламинирования,,559,3,1,559,559,100,0,28 из 28,45 ч,13,0,9,FBS,0.8,888,742,35,0.11,0,5.71,0,0,0 из 28,0 из 28,0,2024-11-21
"Пленки для ламинирования GMP Самоклеящиеся, 52х84 мм, 80мкм, 100 шт",https://www.ozon.ru/product/1774761066,ХоумЛенд,GMP,Электроника,Пленка для ламинирования,Топ-50% по продажам,15268,100,4,3817,3817,Нет данных,0,28 из 28,60 ч,193,0,3,FBS,0.4,364,209,22,1.1,0,13.63,0,0,0 из 28,0 из 28,0,2024-12-03
Пленка для ламинирования Cactus 100мкм A5 (100шт) глянцевая 154x216мм CS-LPGA5100100,https://www.ozon.ru/product/1776436499,Позитроника,Cactus,Электроника,Пленка для ламинирования,,480,Нет данных,1,480,480,100,0,0 из 28,0 ч,11,0,5,FBO,0.8,378,236,5,0.27,0.42,20,12.7,100,13 из 28,0 из 28,0,2024-12-05
"Пленки-заготовки для ламинирования А4, КОМПЛЕКТ 100 шт., 100 мкм",https://www.ozon.ru/product/1782402883,Family style,без бренда,Электроника,Пленка для ламинирования,,1618,-37,2,809,809,100,0,28 из 28,45 ч,54,0,0,"FBO,FBS",1.5,377,290,18,0.53,0,22.22,20.1,100,28 из 28,0 из 28,0,2024-12-10
"Пленка для ламинирования А3 (303х426мм, 2х60мкм, 100шт/уп) глянцевая /WF/",https://www.ozon.ru/product/1785309595,Идея Фикс,WF,Электроника,Пленка для ламинирования,,1479,Нет данных,1,1479,1479,100,0,28 из 28,75 ч,44,0,1,FBS,2,305,219,14,0.33,0,14.28,13,100,20 из 28,0 из 28,0,2024-12-13
Пленка для ламинирования velvet/soft touch 330 мм х 32 мкм х 100 м в рулоне,https://www.ozon.ru/product/1785427524,"ООО ""Техносервис""",без бренда,Электроника,Пленка для ламинирования,,21217,-60,8,2652,2641,50,0,19 из 28,28 ч,394,0,17,"FBO,FBS",3.3,3143,1437,189,0.26,0.48,5.82,0,0,4 из 28,0 из 28,0,2024-12-13
"Пленка для ламинации, А4, 10 листов, ""Радуга""",https://www.ozon.ru/product/1788382119,Starkisss shop,без бренда,Электроника,Пленка для ламинирования,,1425,Нет данных,1,1425,1425,100,0,28 из 28,45 ч,33,0,8,FBS,1.9,2373,812,143,0.04,0.49,11.18,0,0,3 из 28,0 из 28,0,2024-12-17
Пленки-заготовки для ламинирования АНТИСТАТИК. А4. КОМПЛЕКТ 100 шт. 100 мкм. BRAUBERG,https://www.ozon.ru/product/1823383932,Делокс - Товары для офиса и дома,Brauberg,Электроника,Пленка для ламинирования,,7700,-25,5,1540,1540,100,0,28 из 28,45 ч,110,0,5995,"FBO,FBS",1.6,806,486,19,0.62,0.41,10.52,0,0,0 из 28,0 из 28,0,2025-01-09
"Пленка для ламинирования OfficeSpace, А3, 100 мкм, 10 л. глянец",https://www.ozon.ru/product/1828734014,Азбука канцелярии,OfficeSpace,Электроника,Пленка для ламинирования,,3155,217,8,394,365,100,0,24 из 28,105 ч,73,0,0,FBS,1.7,2565,1219,127,0.31,0.49,10.23,41.9,100,28 из 28,0 из 28,0,2025-01-13
Пленка для ламинирования матовая с блестками (Снег) 80 мкм размер А4 - 10шт,https://www.ozon.ru/product/1829458724,БроняMobiCare,MobiCareSkin,Электроника,Пленка для ламинирования,,5065,394,5,1013,965,40,0,28 из 28,83 ч,60,0,78,FBS,2.1,2620,1097,208,0.19,0.18,7.21,5.9,19.1,12 из 28,0 из 28,0,2025-01-13
Матовый Вельвет пленка для холодной ламинации / 28мкм / Рулон 300мм*100м,https://www.ozon.ru/product/1831574837,Unstroked Printshop,Unstroked,Электроника,Пленка для ламинирования,Super,21554,129,5,4311,4150,80,0,21 из 28,28 ч,572,0,0,"FBO,FBS",7.7,3055,823,722,0.16,0.36,1.8,10.3,78.2,16 из 28,0 из 28,0,2025-01-14
"Пленка A5 для ламинирования документов COMIX, 80 мкм, глянцевая, 100 штук в упаковке",https://www.ozon.ru/product/1834499652,СЛС - ПЛАСТ ООО,Comix,Электроника,Пленка для ламинирования,,2325,200,3,775,775,50,0,19 из 28,37 ч,56,0,137,FBO,0.8,2598,540,50,0.12,0,4,0,0,0 из 28,0 из 28,0,2025-01-16
"Пленка для ламинирования документов Comix А4, 100мкм, глянцевая, 100 штук в упаковке",https://www.ozon.ru/product/1834499695,СЛС - ПЛАСТ ООО,Comix,Электроника,Пленка для ламинирования,,5795,-55,5,1159,1159,75,0,5 из 28,28 ч,193,0,9,FBO,1.9,2536,945,69,0.2,0.74,7.24,0,0,0 из 28,0 из 28,0,2025-01-16
"Пленка для ламинирования А4 Orange Peel, толщина 80мкм, 100 штук",https://www.ozon.ru/product/1834499730,СЛС - ПЛАСТ ООО,Orange Peel,Электроника,Пленка для ламинирования,Super,26528,39,32,829,829,100,0,6 из 28,29 ч,610,1,26,FBO,1.3,6750,1332,737,0.47,0.45,5.29,0,0,0 из 28,0 из 28,0,2025-01-16
"Пленка для ламинирования документов Comix А4, 125мкм, глянцевая, 100 штук в упаковке",https://www.ozon.ru/product/1834499803,СЛС - ПЛАСТ ООО,Comix,Электроника,Пленка для ламинирования,,4037,Нет данных,3,1346,1197,100,0,19 из 28,150 ч,101,0,26,FBO,1.9,1429,619,41,0.21,0.48,12.19,15.7,29.7,12 из 28,0 из 28,0,2025-01-16
"Пленка для ламинирования А4 Orange Peel, толщина 125мкм, 100 штук",https://www.ozon.ru/product/1834499903,СЛС - ПЛАСТ ООО,Orange Peel,Электроника,Пленка для ламинирования,,2569,84,2,1285,1175,100,0,14 из 28,44 ч,62,0,39,FBO,1.9,1782,466,497,0.11,0,2.01,15.7,45.7,12 из 28,0 из 28,0,2025-01-16
"Пленка для ламинирования документов Comix А4, 80мкм, глянцевая, 100 штук в упаковке",https://www.ozon.ru/product/1834500223,СЛС - ПЛАСТ ООО,Comix,Электроника,Пленка для ламинирования,,1050,-88,1,1050,1050,100,0,0 из 28,0 ч,0,0,98,FBO,1.3,1243,552,28,0.08,0.18,7.14,0,0,0 из 28,0 из 28,0,2025-01-16
"Пленка для ламинирования Promega office 80х110, 100 мкм, 100 шт./уп.",https://www.ozon.ru/product/1840761335,Perfect Shop,ProMega,Электроника,Пленка для ламинирования,,748,Нет данных,1,748,748,Нет данных,0,28 из 28,45 ч,22,0,3991,FBS,3,118,107,2,0.85,0,50,0,0,0 из 28,0 из 28,0,2025-01-20
"Пленка для ламинирования А4 Orange Peel, толщина 100мкм, 100 штук",https://www.ozon.ru/product/1845214091,СЛС - ПЛАСТ ООО,Orange Peel,Электроника,Пленка для ламинирования,,226827,73,271,837,837,98.1,0,12 из 28,33 ч,5282,10,45,FBO,1.5,197330,34693,2762,0.14,0.52,14.59,0,0,0 из 28,26 из 28,26.5,2025-01-23
"Пленка для ламинирования А4 Orange Peel, толщина 60мкм, 100 штук",https://www.ozon.ru/product/1845214182,СЛС - ПЛАСТ ООО,Orange Peel,Электроника,Пленка для ламинирования,Super,68324,53,116,589,589,97.3,0,5 из 28,29 ч,1620,4,39,FBO,1.6,17758,7235,1044,0.65,1.36,14.84,0,0,0 из 28,0 из 28,0,2025-01-23
"Пленка для ламинирования 70х100 мм, 100 мкм, 100 листов",https://www.ozon.ru/product/1847568632,Железный Магазин,Yulong,Электроника,Пленка для ламинирования,,399,Нет данных,1,399,399,100,0,28 из 28,150 ч,12,0,2,FBS,0.1,178,99,3,0.56,0,33.33,0,0,0 из 28,0 из 28,0,2025-01-25
"Пленка для ламинации, А4, 10 листов, ""Сердца""",https://www.ozon.ru/product/1850530835,Starkisss shop,без бренда,Электроника,Пленка для ламинирования,,2926,Нет данных,2,1463,1426,100,0,16 из 28,44 ч,79,0,0,FBO,1.9,1241,797,83,0.16,0.75,1.2,0,0,0 из 28,0 из 28,0,2025-01-29
"Пленка для ламинирования (85х120мм, 2х60мкм, 100шт/уп) глянцевая /LF/",https://www.ozon.ru/product/1850922481,Идея Фикс,LF,Электроника,Пленка для ламинирования,,187,0,1,187,187,100,0,28 из 28,45 ч,6,0,1,FBS,0.2,549,494,15,0.18,0.2,6.66,0,0,4 из 28,0 из 28,0,2025-01-29
"Пленка для ламинирования 54*86 мм deVENTE, толщина 125 мкм, 100 л.",https://www.ozon.ru/product/1852738661,RichGroup,без бренда,Электроника,Пленка для ламинирования,,184,0,1,184,184,Нет данных,0,0 из 28,0 ч,0,0,5,FBS,0,850,677,22,0.12,0,9.09,22.7,100,28 из 28,0 из 28,0,2025-01-31
Пленка для ламинирования A4 (216х303мм) 125мкм 25шт/уп Lamirel LA-78802,https://www.ozon.ru/product/1856903208,CyberUP,Lamirel,Электроника,Пленка для ламинирования,,474,Нет данных,1,474,474,100,0,0 из 28,28 ч,14,0,13,FBS,0.7,676,293,16,0.15,0.68,6.25,0,0,0 из 28,0 из 28,0,2025-02-04
"Пленка для ламинирования А4 ГЕЛЕОС 125 мкм 100 шт., в наборе 10 упаковок",https://www.ozon.ru/product/1858442377,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Лидер по продажам,43000,400,5,8600,8600,Нет данных,0,0 из 28,28 ч,1190,0,11,FBS,24.3,1802,491,354,0.28,0,1.12,0,0,4 из 28,0 из 28,0,2025-02-05
Пленка для ламинирования Buro 75мкм A4 (100шт) глянцевая 216x303мм,https://www.ozon.ru/product/1891255720,Позитроника,Buro,Электроника,Пленка для ламинирования,,2340,-26,3,780,774,100,0,14 из 28,28 ч,34,0,19,FBO,1.2,824,622,28,0.36,0.16,10.71,31,100,26 из 28,0 из 28,0,2025-02-21
Пленки-заготовки для ламинирования АНТИСТАТИК. А4. КОМПЛЕКТ 100 шт. 125 мкм. BRAUBERG,https://www.ozon.ru/product/1900468219,Делокс - Товары для офиса и дома,Brauberg,Электроника,Пленка для ламинирования,,1819,-94,1,1819,1819,100,0,28 из 28,60 ч,462,0,0,"FBO,FBS",1.8,576,407,12,0.17,0.49,8.33,0,0,0 из 28,0 из 28,0,2025-02-26
Пленка для ламинирования Promega office А4. 80мкм 50шт/уп,https://www.ozon.ru/product/1900468640,Делокс - Товары для офиса и дома,ProMega Office,Электроника,Пленка для ламинирования,,1119,Нет данных,1,1119,1119,100,0,-,-,0,0,9233,FBS,0.8,257,171,3,0.39,0,33.33,0,0,0 из 28,0 из 28,0,2025-02-26
"Пленка для ламинирования А4, 80мкм, 100шт/уп",https://www.ozon.ru/product/1904233674,"ООО ""ОФИС-ЦЕНТР""",без бренда,Электроника,Пленка для ламинирования,,4830,250,7,690,690,100,0,19 из 28,68 ч,131,0,1,FBS,1,1243,902,26,0.56,0.44,11.53,0,0,1 из 28,0 из 28,0,2025-02-27
"Фотолюминесцентные прозрачные листы для ламинирования формата А2 с маркировкой, 20 шт. (610*410)",https://www.ozon.ru/product/1914541190,ФЭС-24,ФЭС-24,Электроника,Пленка для ламинирования,Лидер по продажам,29840,300,4,7460,7460,100,0,-,-,0,0,155,FBS,11.4,3255,1491,109,0.12,0.06,5.5,0,0,0 из 28,0 из 28,5.5,2025-03-04
"Пленка для ламинирования А5, 100мкм, 100шт/уп",https://www.ozon.ru/product/1936285772,"ООО ""ОФИС-ЦЕНТР""",без бренда,Электроника,Пленка для ламинирования,,1040,Нет данных,2,520,520,100,0,28 из 28,60 ч,24,0,3,FBS,0.5,222,167,6,0.9,1.19,50,0,0,0 из 28,0 из 28,0,2025-03-13
Пленка для ламинирования CS-LPGA5100100 глянцевая 100мкм,https://www.ozon.ru/product/1953392392,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1716,190,3,572,572,100,0,28 из 28,65 ч,40,0,500,FBS,0.4,1078,507,139,0.28,0.19,2.15,3.4,100,16 из 28,0 из 28,3.1,2025-03-19
Пленка для ламинирования CS-LPGA310025 А3 100 мкм 25 шт глянцевая,https://www.ozon.ru/product/1953404109,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,22092,51,34,650,633,91.1,0,25 из 28,53 ч,484,1,9,"FBO,FBS",1.7,4732,1813,278,0.72,0.55,10.07,2.3,55,16 из 28,0 из 28,0.7,2025-03-19
"Пленка для ламинирования бумаги, документов ГЕЛЕОС LPA7-60 (80х111), 60 мкм, 100 шт в упаковке",https://www.ozon.ru/product/1956440853,1й! ЗАВТРА,ГЕЛЕОС,Электроника,Пленка для ламинирования,,530,Нет данных,1,530,530,Нет данных,0,-,-,0,0,0,FBS,0.2,101,75,8,0.99,0,12.5,0,0,0 из 28,0 из 28,0,2025-03-20
"Пленка для ламинирования А4, 150мкм, 100шт/уп",https://www.ozon.ru/product/1959320079,"ООО ""ОФИС-ЦЕНТР""",без бренда,Электроника,Пленка для ламинирования,,1450,0,1,1450,1450,100,0,0 из 28,0 ч,0,0,2,FBS,1.3,266,235,4,0.38,0,25,0,0,1 из 28,0 из 28,0,2025-03-21
Пленка для ламинирования А3 100 мкм 100 шт глянцевая,https://www.ozon.ru/product/1972922705,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1545,-53,1,1545,1545,100,0,28 из 28,60 ч,35,0,205,FBS,1.3,824,337,154,0.12,0,2.59,7.8,100,28 из 28,0 из 28,0,2025-03-26
"Пленки-заготовки для ламинирования НА КЛЕЕВОЙ ОСНОВЕ, А4, КОМПЛЕКТ 25 штук, 75 мкм",https://www.ozon.ru/product/1996435129,NBORN,Brauberg,Электроника,Пленка для ламинирования,,1367,Нет данных,1,1367,1367,100,0,0 из 28,28 ч,33,0,1,FBS,2.1,219,177,6,0.46,0,16.66,0,0,0 из 28,0 из 28,0,2025-04-03
Матовая пленка для холодной ламинации - Прозрачный винил / 55мкм / Рулон 300мм*100м,https://www.ozon.ru/product/2011216455,Unstroked Printshop,Unstroked,Электроника,Пленка для ламинирования,,17752,63,7,2536,2536,83.3,0,12 из 28,0 ч,391,0,6,"FBO,FBS",7.7,5348,2126,355,0.13,0.37,6.76,20.8,100,28 из 28,0 из 28,0,2025-04-08
Глянцевая пленка для холодной ламинации - Прозрачный винил / 55 мкм / Рулон 300мм*100м,https://www.ozon.ru/product/2011220837,Unstroked Printshop,Unstroked,Электроника,Пленка для ламинирования,Super,17752,122,7,2536,2536,85.7,0,22 из 28,77 ч,346,0,11,"FBO,FBS",7.7,4715,1585,273,0.15,0.18,4.76,20.8,100,28 из 28,0 из 28,0,2025-04-08
"Пленка Laminating Film, пленка, глянцевое, 100 мкм, А4",https://www.ozon.ru/product/2011533740,INFINITY,Aceline,Электроника,Пленка для ламинирования,,3204,Нет данных,1,3204,3204,100,0,28 из 28,105 ч,81,0,13,FBS,3,296,253,2,0.34,0.39,50,21.6,100,28 из 28,0 из 28,0,2025-04-08
"Fellowes Чистящий лист для ламинатора, абсорбирует остатки клея, пыли и грязи с поверхности валов, упаковка 10 шт.",https://www.ozon.ru/product/2041522946,Ресурс-Медиа,Fellowes,Электроника,Пленка для ламинирования,,1498,-67,2,749,742,100,0,21 из 28,51 ч,95,0,2,FBS,1.2,1089,610,51,0.18,0,3.92,0,0,0 из 28,0 из 28,0,2025-04-17
"Пленка для ламинирования ProMega, 216x303 мм, А4, 80 мкм,глянцевая, 100 шт",https://www.ozon.ru/product/2075643507,РОСТ-Вятка,ProMega,Электроника,Пленка для ламинирования,,2274,153,3,758,758,100,0,28 из 28,45 ч,19,0,0,FBS,2,471,378,5,0.64,0.52,20,15.8,100,28 из 28,0 из 28,0,2025-04-26
"Пленки-заготовки д/ламинирования А4, КОМПЛЕКТ 100шт, 100 мкм, МАТОВАЯ, BRAUBERG, 531780",https://www.ozon.ru/product/2097029894,ПринтАрсенал,Brauberg,Электроника,Пленка для ламинирования,Топ-50% по продажам,48249,Нет данных,21,2298,2269,Нет данных,0,-,-,0,0,0,FBS,1.3,94,30,7,22.34,0,14.28,0,0,0 из 28,0 из 28,0,2025-05-04
"Пленка для ламинирования / ламинации документов, сертификатов, грамот формата А4, комплект 100 шт, 75 мкм, AXLER",https://www.ozon.ru/product/2108195342,AXLER MARKET,AXLER,Электроника,Пленка для ламинирования,Super,40718,-10,50,814,652,95.8,0,23 из 28,48 ч,818,2,76,FBO,1.1,19251,10684,254,0.26,0.19,13.38,10.7,56.4,14 из 28,0 из 28,14,2025-05-07
"Пленка для ламинирования А4 100 шт Uvendo, 100 мкм для ламинатора, глянцевая",https://www.ozon.ru/product/2108195492,AXLER MARKET,Uvendo,Электроника,Пленка для ламинирования,Super,19150,206,19,1008,853,94.7,0,19 из 28,39 ч,599,1,13,FBO,1.4,12870,11591,197,0.15,0.12,8.12,7.6,94.2,26 из 28,0 из 28,31.1,2025-05-07
"Пленка для ламинирования А4 UVENDO, 100 шт, 60 мкм, глянцевые прозрачные листы, 216х303 мм",https://www.ozon.ru/product/2108195556,AXLER MARKET,Uvendo,Электроника,Пленка для ламинирования,,6609,22,9,734,720,66.6,0,12 из 28,42 ч,146,0,13,FBO,1.2,19736,17809,293,0.05,0.11,7.16,0,0,6 из 28,0 из 28,185.3,2025-05-07
"Пленка для ламинирования А4 UVENDO,100 шт, 80 мкм, глянцевые прозрачные листы, 216х303 мм",https://www.ozon.ru/product/2108195573,AXLER MARKET,Uvendo,Электроника,Пленка для ламинирования,,9194,32,11,836,702,100,0,11 из 28,33 ч,216,0,11,FBO,1,12818,11552,212,0.09,0.14,4.71,5.1,80,26 из 28,0 из 28,46.4,2025-05-07
"Пленка для ламинирования А4, 100 шт, 75 мкм, глянцевые прозрачные листы, 216х303 мм",https://www.ozon.ru/product/2108195574,AXLER MARKET,без бренда,Электроника,Пленка для ламинирования,Super,6714,25,9,746,746,100,0,24 из 28,65 ч,165,0,10,FBO,0.9,9539,8357,209,0.09,0.26,7.65,0,0,8 из 28,0 из 28,60.9,2025-05-07
"Пленка для ламинирования / ламинации документов, сертификатов, грамот формата А4, комплект 100 шт, 100 мкм, AXLER",https://www.ozon.ru/product/2108195623,AXLER MARKET,AXLER,Электроника,Пленка для ламинирования,Super,61040,-13,67,911,885,97,0,21 из 28,67 ч,1688,3,21,FBO,1.5,14796,11269,264,0.45,0.41,19.69,0.8,16,3 из 28,0 из 28,6.2,2025-05-07
"Пленка для ламинирования А4 UVENDO, 100 шт, 75 мкм, глянцевые прозрачные листы, 216х303 мм",https://www.ozon.ru/product/2108195675,AXLER MARKET,Uvendo,Электроника,Пленка для ламинирования,,5211,-13,7,744,673,100,0,14 из 28,37 ч,71,0,10,FBO,1,15216,13975,240,0.05,0.15,5.83,8.8,100,26 из 28,0 из 28,105.1,2025-05-07
Пленка-пакет для ламинирования ProMega office А7 80x110 мм 125 мкм глянцевая (100 штук в упаковке),https://www.ozon.ru/product/2134131235,Комус,ProMega,Электроника,Пленка для ламинирования,,415,Нет данных,1,415,415,100,0,0 из 28,28 ч,11,0,2,FBS,0.3,207,183,9,0.48,0,33.33,0,0,0 из 28,0 из 28,0,2025-05-14
Пленка для ламинирования 65x95 125 мкн глянцевая,https://www.ozon.ru/product/2142647080,Принтснами,без бренда,Электроника,Пленка для ламинирования,,321,Нет данных,1,321,321,100,0,28 из 28,45 ч,9,0,4,FBS,0.3,420,306,17,0.24,0,11.76,13.2,100,27 из 28,0 из 28,0,2025-05-16
"Рулонная пленка для ламинирования Silk Feel TIGER BOND (330 мм х 200 м х 36 мкм, d25 мм)",https://www.ozon.ru/product/2165311556,MasterPrint,GMP,Электроника,Пленка для ламинирования,,11658,Нет данных,2,5829,5829,100,0,-,-,0,0,8,FBS,3.5,90,21,5,2.22,0,20,50.2,100,10 из 28,0 из 28,0,2025-05-22
"Пленка-заготовка для ламинирования А5, 75мкм, BRAUBERG, 530898 - комплект 100шт.",https://www.ozon.ru/product/2196775257,DC-Electro,Brauberg,Электроника,Пленка для ламинирования,,671,Нет данных,1,671,671,Нет данных,0,-,-,0,0,18,FBS,1,281,89,11,0.36,1.12,18.18,0,0,2 из 28,0 из 28,0,2025-05-27
"Пленка-заготовка для ламинирования А5, 150мкм, BRAUBERG, 531783 - комплект 100шт.",https://www.ozon.ru/product/2196775318,DC-Electro,Brauberg,Электроника,Пленка для ламинирования,,3976,300,4,994,994,Нет данных,0,0 из 28,45 ч,0,0,5,FBS,1,350,188,16,1.14,0,12.5,0,0,3 из 28,0 из 28,0,2025-05-27
"Пленка-заготовка для ламинирования антистатик, А4, 75мкм, BRAUBERG, 531792 - комплект 100шт.",https://www.ozon.ru/product/2196777511,DC-Electro,Brauberg,Электроника,Пленка для ламинирования,,666,Нет данных,1,666,666,Нет данных,0,-,-,0,0,503,FBS,1.4,235,169,16,0.43,0,12.5,33.7,100,2 из 28,0 из 28,0,2025-05-27
"Пленка-заготовка для ламинирования А4, 125мкм, BRAUBERG, 530803 - комплект 100шт.",https://www.ozon.ru/product/2196777607,DC-Electro,Brauberg,Электроника,Пленка для ламинирования,,5664,97,5,1133,928,40,0,28 из 28,52 ч,74,0,290,FBS,1.8,655,359,29,0.76,0.27,13.79,35.6,49.2,3 из 28,0 из 28,0,2025-05-27
"Пленка-заготовка для ламинирования А5, 125мкм, BRAUBERG, 530899 - комплект 100шт.",https://www.ozon.ru/product/2196777740,DC-Electro,Brauberg,Электроника,Пленка для ламинирования,,860,Нет данных,1,860,860,100,0,0 из 28,28 ч,21,0,13,FBS,1,207,92,9,0.48,0,22.22,0,0,1 из 28,0 из 28,0,2025-05-27
"Пленка-заготовка для ламинирования А4, 150мкм, BRAUBERG, 531776 - комплект 100шт.",https://www.ozon.ru/product/2196777762,DC-Electro,Brauberg,Электроника,Пленка для ламинирования,,3797,Нет данных,2,1899,1791,50,0,28 из 28,45 ч,51,0,107,FBS,1,200,127,5,1,2.36,20,0,0,2 из 28,0 из 28,0,2025-05-27
